"You request for product %1 accepted for review!","You request for product %1 accepted for review!"
"Your request can't be sent. Please, contact us if you see this message.","Your request can't be sent. Please, contact us if you see this message."
"Your name","Your name"
"Your email","Your email"
"Send your request","Send your request"
"Requested product:","Requested product:"
"Your request posted","Your request posted"
Error,Error
"Personal Discount List","Personal Discount List"
"My Requests","My Requests"
"Loyalty program for Regular Customers","Loyalty program for Regular Customers"
