"Request deleted!","Запит видалено!"
"We can't find a request to delete.","Запит не знайдено, щоб видалити."
"This request no longer exists.","Запит більше не існує."
"Edit Discount Request","Редагування запиту"
"New Discount Request","Новий запит"
"Discount Requests","Запити на знижку"
"Invalid request","Невалідний запит"
"Please correct the data sent.","Please correct the data sent."
"Request with ID %1 does not exist","Запит з ID %1 не існує"
"%1 requests(s) have been updated.","%1 запит(и) були оновлені."
"%1 requests(s) have been deleted.","%1 запит(и) були видалені."
"Product with id %1 does not exist.","Товар з id %1 не існує."
"Customer with id %1 does not exist.","Покупець з id %1 не існує."
"You request for product %1 accepted for review!","Ваш запит для продукту %1 прийнятий!"
No,Ні
Yes,Так
"Are you sure you want to delete this discount request?","Ви впевнені що хочете видалити запит?"
Delete,Видалити
Save,Зберегти
Edit,Редагувати
"Are you sure you want to delete this request?","Ви впевнені що хочете видалити запит?"
Pending,На рогляді
Approved,Підтверджена
Declined,Відклонена
"Requested product:","Товари з запитом на знижку:"
"Status: %1","Status: %1"
"We couldn't find any records.","We couldn't find any records."
"Personal Discount Request Declined","Personal Discount Request Declined"
"Your request for the product %product_name has been <span class=""olenak-discount-request-declined"">declined</span>!","Your request for the product %product_name has been <span class=""olenak-discount-request-declined"">declined</span>!"
"Personal Discount Request Approved","Personal Discount Request Approved"
"Your request for the product %product_name has been <span class=""olenak-discount-request-approved"">approved</span>!","Your request for the product %product_name has been <span class=""olenak-discount-request-approved"">approved</span>!"
"New Personal Discount Request","New Personal Discount Request"
"Hi, %customer_name!","Hi, %customer_name!"
"Thank you for being interested in the product %product_name.","Thank you for being interested in the product %product_name."
"We'll notify you updated about the request status.","We'll notify you updated about the request status."
"Request Personal Discount","Request Personal Discount"
"Your name","Ім'я"
"Your email","Електронна адреса"
"Apply for discount","Відправити запит"
"Sign In","Sign In"
"Your request posted","Ваш запит відправлено"
Error,Помилка
"Your request can't be sent. Please, contact us if you see this message.","Ваш запит не може бути відправлений. Будь-ласка, зв'яжіться з адміністратором, якщо бачите це повідомлення.."
"Already requested!","Вже був запит!"
"Please, log in to send a request!","Будь ласка, увійдіть у свій аккаунт перед тим як відправити запит!"
"Personal Discount","Personal Discount"
"General Settings","General Settings"
"Settings per store view are not available","Settings per store view are not available"
Enabled,Enabled
"Allow for Guests","Allow for Guests"
"Allow guests to submit discount requests. Clear Page Cache and Block HTML output cache after changing this option","Allow guests to submit discount requests. Clear Page Cache and Block HTML output cache after changing this option"
"Email Sender","Email Sender"
Back,Back
"Product ID","Product ID"
"Customer ID","Customer ID"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
Status,Status
"Store View","Store View"
"Notify Customer by Email","Notify Customer by Email"
"Email Sent","Email Sent"
"Add New Request","Add New Request"
"Are you sure you want to delete selected requests?","Are you sure you want to delete selected requests?"
"Delete Requests","Delete Requests"
"Change status","Change status"
"Discount Request ID","Discount Request ID"
"Product Name","Product Name"
"User ID","User ID"
"Email sent","Email sent"
Created,Створено
Updated,Оновлено
"Personal Discount List","Перелік персональних знижок"
"My Requests","Мої запроси"
"Loyalty program for Regular Customers","Програма лояльності для постійних покупців"
"Regular Customer","Запит на знижку"
